experiment_name,model_name,method,data_fraction,seed,f1_macro,accuracy,f1_negative,f1_neutral,f1_positive,trainable_params,peak_vram_gb,train_time_s,inference_latency_ms,fallback_rate,notes
lora_qwen1.7b_n50_s43,Qwen/Qwen3-1.7B,lora,50,43,0.6433616790927489,0.6425287356321839,0.7152103559870551,0.5560975609756098,0.6587771203155819,6422528.0,8.045165568,70.8569,50.94616879758082,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=50, seed=43. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6733@step60. loss 1.130214309692383->2.1846675372216852e-05. n_train=50, n_test=870."
lora_qwen4b_n25_s42,Qwen/Qwen3-4B,lora,25,42,0.6075006003373461,0.635632183908046,0.7285714285714285,0.3853211009174312,0.7086092715231788,11796480.0,15.840611328,91.318,67.04254561152898,0.0022988505747126,"PEFT lora sobre Qwen/Qwen3-4B, fracción=25, seed=42. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6464@step20. loss 1.5706354141235352->4.9672718159854415e-05. n_train=25, n_test=870."
lora_qwen1.7b_n50_s44,Qwen/Qwen3-1.7B,lora,50,44,0.6537322745476696,0.6505747126436782,0.7034990791896869,0.5407166123778502,0.7169811320754716,6422528.0,8.045231104,70.5146,50.3157029222501,0.0057471264367816,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=50, seed=44. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6934@step40. loss 0.7657241821289062->5.212830728851259e-05. n_train=50, n_test=870."
lora_qwen4b_n25_s43,Qwen/Qwen3-4B,lora,25,43,0.6455875385873693,0.6425287356321839,0.7076923076923077,0.5700164744645799,0.6590538336052202,11796480.0,15.775763456,91.1747,65.46757827725327,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=25, seed=43. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6761@step60. loss 0.7777830600738526->4.130184242967516e-06. n_train=25, n_test=870."
lora_qwen1.7b_n100_s42,Qwen/Qwen3-1.7B,lora,100,42,0.6703225806451613,0.667816091954023,0.7428571428571429,0.5709677419354838,0.6971428571428572,6422528.0,8.50698496,69.895,50.62378715037515,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=100, seed=42. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.7052@step60. loss 0.8947220802307129->0.00048406915739178656. n_train=100, n_test=870."
lora_qwen1.7b_n100_s43,Qwen/Qwen3-1.7B,lora,100,43,0.622204672294779,0.6206896551724138,0.7064676616915423,0.532695374800638,0.6274509803921569,6422528.0,8.256953344,73.1505,53.189402625879694,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=100, seed=43. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6458@step40. loss 1.0268316268920898->0.020853698253631592. n_train=100, n_test=870."
lora_qwen4b_n25_s44,Qwen/Qwen3-4B,lora,25,44,0.6808513111400409,0.6827586206896552,0.7598684210526315,0.5724381625441696,0.7102473498233216,11796480.0,16.111148544,93.0053,66.33214034107432,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=25, seed=44. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6891@step60. loss 0.31703672409057615->1.438332492398331e-06. n_train=25, n_test=870."
lora_qwen1.7b_n100_s44,Qwen/Qwen3-1.7B,lora,100,44,0.6411510629557005,0.639080459770115,0.6972477064220184,0.519134775374376,0.7070707070707071,6422528.0,8.256953344,71.1481,51.10672903002093,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=100, seed=44. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6612@step80. loss 1.0412457466125489->0.06661626696586609. n_train=100, n_test=870."
lora_qwen4b_n50_s42,Qwen/Qwen3-4B,lora,50,42,0.6343682324010192,0.6402298850574712,0.7297297297297297,0.4990892531876138,0.6742857142857143,11796480.0,15.819205632,91.8456,72.67751232639216,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=50, seed=42. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.7007@step60. loss 0.7246909141540527->1.665968156885356e-05. n_train=50, n_test=870."
lora_qwen1.7b_n250_s42,Qwen/Qwen3-1.7B,lora,250,42,0.6683733742864856,0.6655172413793103,0.7412353923205343,0.58125,0.6826347305389222,6422528.0,8.723313664,77.3717,50.314129558963735,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=250, seed=42. r=16, lr=0.0002, max_steps=160 (min_steps=80). best_val_F1=0.6844@step80. loss 0.911684513092041->0.020753923058509826. n_train=250, n_test=870."
lora_qwen4b_n50_s43,Qwen/Qwen3-4B,lora,50,43,0.6612098342444382,0.6781609195402298,0.750373692077728,0.4882226980728051,0.7450331125827815,11796480.0,15.646345216,94.7845,66.6548026104768,0.0011494252873563,"PEFT lora sobre Qwen/Qwen3-4B, fracción=50, seed=43. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6799@step40. loss 0.670550537109375->0.00013437968445941805. n_train=50, n_test=870."
lora_qwen1.7b_n250_s43,Qwen/Qwen3-1.7B,lora,250,43,0.6555982558894545,0.6517241379310345,0.7077464788732394,0.5664556962025317,0.6925925925925925,6422528.0,8.530801152,80.9995,54.88708873459122,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=250, seed=43. r=16, lr=0.0002, max_steps=160 (min_steps=80). best_val_F1=0.6825@step80. loss 0.8672102928161621->0.02049715965986252. n_train=250, n_test=870."
lora_qwen4b_n50_s44,Qwen/Qwen3-4B,lora,50,44,0.7010957891928702,0.6988505747126437,0.7463235294117647,0.6052631578947368,0.7517006802721088,11796480.0,15.648724992,88.6279,65.78935322498805,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=50, seed=44. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6828@step80. loss 0.5847363948822022->5.741934000980109e-06. n_train=50, n_test=870."
lora_qwen1.7b_n250_s44,Qwen/Qwen3-1.7B,lora,250,44,0.647180906409225,0.6494252873563219,0.7232,0.5274336283185841,0.6909090909090909,6422528.0,8.723477504,83.5476,54.069998200263896,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=250, seed=44. r=16, lr=0.0002, max_steps=160 (min_steps=80). best_val_F1=0.6898@step120. loss 0.9870030403137207->0.03218873739242554. n_train=250, n_test=870."
lora_qwen4b_n100_s42,Qwen/Qwen3-4B,lora,100,42,0.6869551326631614,0.6873563218390805,0.7474402730375427,0.5798611111111112,0.7335640138408305,11796480.0,16.303072768,95.4177,68.88526490186914,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=100, seed=42. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.7041@step80. loss 0.7467876434326172->0.00220637209713459. n_train=100, n_test=870."
lora_qwen1.7b_n500_s42,Qwen/Qwen3-1.7B,lora,500,42,0.6688147362832696,0.6758620689655173,0.723404255319149,0.5297504798464492,0.7532894736842105,6422528.0,8.722904064,92.5054,51.90920838759395,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=500, seed=42. r=16, lr=0.0002, max_steps=315 (min_steps=80). best_val_F1=0.6706@step156. loss 0.7071268619635166->0.012525145824138936. n_train=500, n_test=870."
lora_qwen4b_n100_s43,Qwen/Qwen3-4B,lora,100,43,0.7000057408165246,0.7034482758620689,0.7417677642980935,0.5944954128440367,0.7637540453074434,11796480.0,15.8509568,91.382,64.83844727310434,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=100, seed=43. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6932@step80. loss 0.8117608070373535->0.017632757127285004. n_train=100, n_test=870."
lora_qwen1.7b_n500_s43,Qwen/Qwen3-1.7B,lora,500,43,0.698427093053163,0.6954022988505747,0.7531083481349912,0.6096774193548387,0.7324955116696589,6422528.0,8.722822144,99.1647,55.22051181546167,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=500, seed=43. r=16, lr=0.0002, max_steps=315 (min_steps=80). best_val_F1=0.6940@step156. loss 0.7261669452373798->0.010067051037763938. n_train=500, n_test=870."
lora_qwen4b_n100_s44,Qwen/Qwen3-4B,lora,100,44,0.672781769999828,0.6735632183908046,0.7007575757575758,0.565587734241908,0.752,11796480.0,15.8509568,99.1032,68.69075077242758,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=100, seed=44. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6928@step40. loss 0.998037052154541->0.0030287794768810274. n_train=100, n_test=870."
