model,model_label,method,perturbation,optional,n_test,fallback_rate,f1_macro,f1_negative,f1_neutral,f1_positive,f1_macro_clean,delta_abs,delta_rel_pct,delta_f1_negative,delta_f1_neutral,delta_f1_positive
beto,BETO,encoder_finetuned,mayusculas,False,870,,0.47723058271767965,0.5158878504672897,0.5408038976857491,0.375,0.6612994350282486,-0.18406885231056896,-27.834418504033067,-0.18580706478694764,-0.009196102314250942,-0.3572033898305085
beto,BETO,encoder_finetuned,alargamientos,False,870,,0.6598298433165799,0.68760907504363,0.5649122807017544,0.7269681742043551,0.6612994350282486,-0.0014695917116687163,-0.22222787950906686,-0.014085840210607325,0.014912280701754321,-0.005235215626153367
beto,BETO,encoder_finetuned,abrev_chat,False,870,,0.6557285166566599,0.7011686143572621,0.5454545454545454,0.7205623901581723,0.6612994350282486,-0.00557091837158874,-0.8424199502530602,-0.0005263008969752514,-0.00454545454545463,-0.011640999672336227
beto,BETO,encoder_finetuned,sin_puntuacion,False,870,,0.6659018716113106,0.7048903878583473,0.5649122807017544,0.7279029462738301,0.6612994350282486,0.004602436583062031,0.6959686246919944,0.0031954726041100168,0.014912280701754321,-0.004300443556678357
beto,BETO,encoder_finetuned,code_switching,True,870,,0.6604726838582078,0.7048903878583473,0.5551601423487544,0.7213675213675214,0.6612994350282486,-0.0008267511700408292,-0.1250191859010908,0.0031954726041100168,0.005160142348754393,-0.01083586846298712
xlmr,XLM-R,encoder_finetuned,limpio,False,870,,0.6464889915810161,0.7024539877300614,0.5,0.737012987012987,0.6464889915810161,0.0,0.0,0.0,0.0,0.0
xlmr,XLM-R,encoder_finetuned,sin_tildes,False,870,,0.6488551825733976,0.7107692307692308,0.5010351966873706,0.7347611202635914,0.6464889915810161,0.002366190992381445,0.36600638575373495,0.008315243039169418,0.0010351966873706209,-0.0022518667493955924
xlmr,XLM-R,encoder_finetuned,sin_emojis,False,870,,0.6469273054160863,0.7004608294930875,0.5021097046413502,0.7382113821138211,0.6464889915810161,0.00043831383507020316,0.06779911812547468,-0.00199315823697388,0.002109704641350185,0.001198395100834082
xlmr,XLM-R,encoder_finetuned,minusculas,False,870,,0.6484565030828512,0.7024539877300614,0.5031446540880503,0.7397708674304418,0.6464889915810161,0.001967511501835051,0.3043379744214079,0.0,0.0031446540880503138,0.002757880417454839
xlmr,XLM-R,encoder_finetuned,mayusculas,False,870,,0.536563947032347,0.5936199722607489,0.4457593688362919,0.5703125,0.6464889915810161,-0.10992504454866914,-17.0033900004767,-0.10883401546931248,-0.054240631163708086,-0.166700487012987
xlmr,XLM-R,encoder_finetuned,alargamientos,False,870,,0.6026151272556524,0.6795827123695977,0.4018475750577367,0.7264150943396226,0.6464889915810161,-0.043873864325363776,-6.7864828166785,-0.02287127536046374,-0.09815242494226328,-0.010597892673364417
xlmr,XLM-R,encoder_finetuned,abrev_chat,False,870,,0.6433215978753216,0.7039274924471299,0.4904051172707889,0.735632183908046,0.6464889915810161,-0.003167393705694521,-0.48993776335595846,0.00147350471706853,-0.009594882729211107,-0.0013808031049410419
xlmr,XLM-R,encoder_finetuned,sin_puntuacion,False,870,,0.6250225717190796,0.6884272997032641,0.4661016949152542,0.7205387205387206,0.6464889915810161,-0.021466419861936537,-3.320461777615037,-0.014026688026797296,-0.03389830508474578,-0.01647426647426642
xlmr,XLM-R,encoder_finetuned,code_switching,True,870,,0.6514896551396048,0.7055214723926381,0.5157232704402516,0.7332242225859247,0.6464889915810161,0.005000663558588636,0.7735110146824468,0.0030674846625766694,0.01572327044025157,-0.00378876442706233
